bmf21;bmf255;bmf343;bmf402;bmf467;bmf547;bmf559;bmf875;exp
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;True;True;False;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;True;False;False;False;True;False;True
True;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;True;True;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;True;False;False;True;False;True
True;False;False;False;False;False;False;True;True
False;False;True;False;False;False;True;False;True
False;False;False;True;False;False;False;False;True
False;True;True;False;False;False;False;True;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;False;True;True;False;False;True
False;False;False;False;False;False;False;False;True
False;True;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;True;False;False;False;False;False;False;True
False;False;True;False;False;False;False;True;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;True;True;False;False;True
True;False;False;True;True;True;False;False;True
False;False;True;False;False;False;False;False;True
False;False;True;False;False;True;True;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;True;True;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;True;False;False;True;True;False;True
False;False;True;False;False;False;True;False;True
False;False;True;False;False;False;False;False;True
True;False;False;False;False;True;False;True;True
False;False;True;False;False;False;True;False;True
True;False;False;True;True;True;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;True;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;True;False;False;True
True;False;False;True;True;True;False;False;True
False;True;False;False;False;False;False;True;True
False;False;True;False;False;False;False;False;True
True;False;False;True;True;True;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;False;False;False;False;True;True
False;True;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;True;False;False;False;False;True
False;False;True;False;False;False;False;True;True
False;False;True;False;False;False;True;False;True
False;False;True;False;True;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;True;True;False;True
